Folder,Scale,Location,Availability
India,Nation,India,1
Region_Central,Region,Central,1
Region_Eastern,Region,Eastern,1
Region_Northeastern,Region,Northeastern,1
Region_Northern,Region,Northern,1
Region_Southern,Region,Southern,1
Region_Western,Region,Western,1
State_Andhra_Pradesh,State,Andhra_Pradesh,1
State_Arunachal_Pradesh,State,Arunachal_Pradesh,1
State_Assam,State,Assam,1
State_Bihar,State,Bihar,1
State_Chandigarh,State,Chandigarh,0
State_Chhattisgarh,State,Chhattisgarh,1
State_Delhi,State,Delhi,1
State_Gujarat,State,Gujarat,1
State_Haryana,State,Haryana,1
State_Himachal_Pradesh,State,Himachal_Pradesh,1
State_Jammu_and_Kashmir,State,Jammu_and_Kashmir,1
State_Jharkhand,State,Jharkhand,1
State_Karnataka,State,Karnataka,1
State_Kerala,State,Kerala,1
State_Madhya_Pradesh,State,Madhya_Pradesh,1
State_Maharashtra,State,Maharashtra,1
State_Manipur,State,Manipur,1
State_Meghalaya,State,Meghalaya,1
State_Nagaland,State,Nagaland,1
State_Odisha,State,Odisha,1
State_Punjab,State,Punjab,1
State_Rajasthan,State,Rajasthan,1
State_Tamil_Nadu,State,Tamil_Nadu,1
State_Telangana,State,Telangana,1
State_Uttar_Pradesh,State,Uttar_Pradesh,1
State_Uttarakhand,State,Uttarakhand,1
State_West_Bengal,State,West_Bengal,1
